Test Number,Load Time (seconds),Resource Name,Duration (ms)
4,0.581,https://en.wikipedia.org/static/images/footer/poweredby_mediawiki_88x31.png,81.09999999962747
4,0.581,https://en.wikipedia.org/w/load.php?lang=en&modules=ext.math.popup%7Cext.popups.images%2Cmain&skin=vector-2022&version=uyir0,52.299999999813735
4,0.581,https://en.wikipedia.org/w/load.php?lang=en&modules=mw.config.values.wbCurrentSiteDetails%2CwbRepo%7Coojs-ui.styles.icons-editing-core&skin=vector-2022&version=1g32s,51.09999999962747
4,0.581,https://login.wikimedia.org/wiki/Special:CentralAutoLogin/checkLoggedIn?type=script&wikiid=enwiki,51.40000000037253
4,0.581,https://en.wikipedia.org/w/load.php?lang=en&modules=mediawiki.ui.button&skin=vector-2022&version=n59lb,51
5,0.591,https://en.wikipedia.org/w/load.php?lang=en&modules=codex-search-styles%7Cext.cite.styles%7Cext.uls.interlanguage%7Cext.visualEditor.desktopArticleTarget.noscript%7Cext.wikimediaBadges%7Cjquery.makeCollapsible.styles%7Cskins.vector.icons%2Cstyles%7Cwikibase.client.init&only=styles&skin=vector-2022,66.5
5,0.591,https://en.wikipedia.org/w/load.php?lang=en&modules=site.styles&only=styles&skin=vector-2022,81.70000000018626
5,0.591,https://en.wikipedia.org/w/load.php?lang=en&modules=startup&only=scripts&raw=1&skin=vector-2022,135.09999999962747
5,0.591,https://en.wikipedia.org/static/images/icons/wikipedia.png,136.6000000005588
5,0.591,https://en.wikipedia.org/static/images/mobile/copyright/wikipedia-wordmark-en.svg,53.799999999813735
5,0.591,https://en.wikipedia.org/static/images/mobile/copyright/wikipedia-tagline-en.svg,136.29999999981374
5,0.591,https://en.wikipedia.org/w/load.php?modules=skins.vector.icons&image=menu&format=original&lang=en&skin=vector-2022&version=zvial,53.5
5,0.591,https://en.wikipedia.org/w/load.php?modules=skins.vector.icons&image=search&format=original&lang=en&skin=vector-2022&version=zvial,53.10000000055879
5,0.591,https://en.wikipedia.org/w/load.php?modules=skins.vector.icons&image=ellipsis&format=original&lang=en&skin=vector-2022&version=zvial,65.29999999981374
5,0.591,https://en.wikipedia.org/w/load.php?modules=skins.vector.icons&image=listBullet&format=original&lang=en&skin=vector-2022&version=zvial,65.6000000005588
5,0.591,https://en.wikipedia.org/w/skins/Vector/resources/skins.vector.styles/images/arrow-down.svg?9426f,64.20000000018626
5,0.591,https://en.wikipedia.org/w/load.php?modules=skins.vector.icons&image=language&variant=progressive&format=original&lang=en&skin=vector-2022&version=zvial,64.79999999981374
5,0.591,https://en.wikipedia.org/w/skins/Vector/resources/skins.vector.styles/images/arrow-down-progressive.svg?f0b59,65.3999999994412
5,0.591,https://en.wikipedia.org/w/skins/Vector/resources/skins.vector.styles/images/bullet-icon.svg?d4515,65.30000000074506
5,0.591,https://en.wikipedia.org/w/skins/Vector/resources/skins.vector.styles/images/link-external-small-ltr-progressive.svg?30a3a,66.19999999925494
